year,month,day,hour,pm25,DEWP,TEMP,PRES,cbwd,Iws
2010,5,21,0,93,9,24,1006,SE,50.06
2010,5,21,1,91,10,22,1007,SE,51.85
2010,5,21,2,96,10,22,1007,SE,53.64
2010,5,21,3,106,10,20,1007,SE,55.43
2010,5,21,4,101,12,19,1007,SE,57.22
2010,5,21,5,90,12,18,1007,cv,0.45
2010,5,21,6,95,11,19,1008,cv,1.34
2010,5,21,7,105,12,20,1008,cv,2.23
2010,5,21,8,110,13,22,1008,SE,0.89
2010,5,21,9,116,13,24,1009,SE,2.68
2010,5,21,10,129,12,25,1008,SE,4.47
2010,5,21,11,134,13,27,1008,SE,6.26
2010,5,21,12,120,13,27,1008,SE,8.05
2010,5,21,13,78,11,27,1008,SE,9.84
2010,5,21,14,72,7,27,1007,SE,13.86
2010,5,21,15,79,8,28,1007,SE,17.88
2010,5,21,16,86,9,28,1006,SE,21.01
2010,5,21,17,77,8,28,1006,SE,22.8
2010,5,21,18,82,10,27,1006,SE,25.93
2010,5,21,19,65,10,25,1006,SE,27.72
2010,5,21,20,93,12,23,1006,SE,29.51
2010,5,21,21,148,12,21,1006,cv,0.89
2010,5,21,22,197,12,20,1007,cv,1.78
2010,5,21,23,234,12,18,1007,SE,0.89
2010,5,22,0,229,12,17,1007,NW,1.79
2010,5,22,1,214,12,16,1006,NE,0.89
2010,5,22,2,229,12,16,1006,NE,1.78
2010,5,22,3,198,11,16,1006,NW,1.79
2010,5,22,4,163,11,16,1006,NW,2.68
2010,5,22,5,119,11,15,1006,NW,3.57
2010,5,22,6,124,11,16,1007,NW,5.36
2010,5,22,7,131,12,19,1007,NW,8.49
2010,5,22,8,157,12,21,1007,cv,0.89
2010,5,22,9,178,13,24,1007,cv,1.78
2010,5,22,10,187,14,25,1007,cv,2.67
2010,5,22,11,182,14,26,1007,cv,4.46
2010,5,22,12,174,14,28,1006,SE,1.79
2010,5,22,13,167,10,29,1005,cv,3.13
2010,5,22,14,128,8,30,1005,SE,3.13
2010,5,22,15,108,10,30,1004,SE,6.26
2010,5,22,16,121,12,29,1004,SE,12.07
2010,5,22,17,127,13,28,1004,SE,16.09
2010,5,22,18,118,11,27,1004,SE,20.11
2010,5,22,19,116,9,26,1004,SE,24.13
2010,5,22,20,115,9,24,1005,SE,27.26
2010,5,22,21,123,11,22,1006,SE,29.05
2010,5,22,22,106,12,19,1006,cv,0.89
2010,5,22,23,118,12,19,1005,cv,1.78
2010,5,23,0,149,12,18,1005,cv,2.67
2010,5,23,1,163,12,17,1004,cv,3.56
2010,5,23,2,155,13,16,1004,SE,0.89
2010,5,23,3,150,13,18,1003,SE,2.68
2010,5,23,4,155,12,15,1003,NW,1.79
2010,5,23,5,176,11,15,1003,NW,3.58
2010,5,23,6,165,12,16,1003,cv,0.89
2010,5,23,7,138,13,19,1003,NW,3.13
2010,5,23,8,139,12,21,1003,NW,6.26
2010,5,23,9,140,11,24,1003,NW,8.05
2010,5,23,10,139,12,26,1002,NW,11.18
2010,5,23,11,135,11,28,1001,NW,12.97
2010,5,23,12,115,10,31,1000,cv,0.89
2010,5,23,13,100,8,32,999,cv,4.02
2010,5,23,14,104,4,34,998,NW,4.02
2010,5,23,15,70,4,35,997,SE,1.79
2010,5,23,16,63,2,34,996,cv,1.79
2010,5,23,17,53,2,35,995,SE,3.13
2010,5,23,18,79,5,32,996,SE,6.26
2010,5,23,19,72,13,27,997,SE,13.41
2010,5,23,20,165,13,24,998,SE,16.54
2010,5,23,21,149,12,22,1000,SE,20.56
2010,5,23,22,139,11,21,1000,SE,24.58
2010,5,23,23,93,11,20,1000,SE,27.71
2010,5,24,0,100,11,19,1000,cv,0.89
2010,5,24,1,78,11,17,1000,cv,1.78
2010,5,24,2,78,12,17,999,SE,0.89
2010,5,24,3,73,11,16,1000,NE,1.79
2010,5,24,4,85,11,16,1000,cv,0.89
2010,5,24,5,98,10,16,1000,NW,1.79
2010,5,24,6,47,8,20,1001,NE,4.02
2010,5,24,7,45,8,23,1003,NW,1.79
2010,5,24,8,40,6,24,1004,NW,9.84
2010,5,24,9,35,7,26,1004,NW,17.89
2010,5,24,10,30,7,28,1004,NW,25.04
