year,month,day,hour,pm25,DEWP,TEMP,PRES,cbwd,Iws
2010,3,1,0,69,-4,-3,1026,SE,7.15
2010,3,1,1,59,-5,-4,1026,SE,12.07
2010,3,1,2,42,-5,-4,1025,SE,15.2
2010,3,1,3,35,-5,-4,1025,SE,18.33
2010,3,1,4,35,-5,-5,1025,SE,20.12
2010,3,1,5,29,-5,-4,1025,SE,23.25
2010,3,1,6,25,-5,-4,1026,SE,25.04
2010,3,1,7,23,-5,-4,1025,SE,28.17
2010,3,1,8,17,-5,-4,1026,SE,29.96
2010,3,1,9,25,-5,-3,1026,SE,33.09
2010,3,1,10,39,-5,-2,1025,SE,36.22
2010,3,1,11,44,-5,-1,1024,SE,38.01
2010,3,1,12,51,-6,-2,1023,SE,39.8
2010,3,1,13,61,-6,-1,1022,SE,42.93
2010,3,1,14,70,-5,-1,1021,SE,46.06
2010,3,1,15,70,-5,-1,1021,SE,50.08
2010,3,1,16,65,-5,-1,1020,SE,53.21
2010,3,1,17,75,-5,-1,1020,SE,58.13
2010,3,1,18,86,-5,-2,1020,SE,63.05
2010,3,1,19,91,-5,-2,1020,SE,67.07
2010,3,1,20,95,-5,-2,1020,SE,70.2
2010,3,1,21,89,-5,-2,1019,SE,73.33
2010,3,1,22,96,-5,-2,1019,SE,77.35
2010,3,1,23,99,-5,-2,1019,SE,80.48
2010,3,2,0,101,-5,-2,1019,SE,82.27
2010,3,2,1,101,-5,-2,1019,cv,0.89
2010,3,2,2,108,-5,-2,1019,SE,0.89
2010,3,2,3,108,-5,-3,1018,cv,0.89
2010,3,2,4,115,-6,-5,1018,cv,1.78
2010,3,2,5,111,-7,-6,1018,NW,1.79
2010,3,2,6,120,-7,-6,1019,cv,0.89
2010,3,2,7,125,-8,-6,1020,cv,1.78
2010,3,2,8,138,-6,-5,1021,NW,1.79
2010,3,2,9,164,-4,0,1022,NW,4.92
2010,3,2,10,169,-7,2,1023,NW,12.07
2010,3,2,11,82,-9,4,1022,NW,20.12
2010,3,2,12,63,-9,6,1022,NW,28.17
2010,3,2,13,37,-11,6,1022,NW,36.22
2010,3,2,14,37,-12,7,1021,NW,44.27
2010,3,2,15,36,-12,8,1021,NW,52.32
2010,3,2,16,30,-13,8,1021,NW,60.37
2010,3,2,17,27,-12,8,1021,NW,65.29
2010,3,2,18,28,-13,7,1022,NW,69.31
2010,3,2,19,34,-12,7,1023,NW,72.44
2010,3,2,20,44,-12,5,1024,cv,0.89
2010,3,2,21,116,-11,5,1024,NW,1.79
2010,3,2,22,139,-6,3,1024,SE,3.13
2010,3,2,23,129,-6,0,1025,cv,0.89
2010,3,3,0,109,-6,3,1024,NW,1.79
2010,3,3,1,97,-5,0,1025,SE,0.89
2010,3,3,2,92,-5,-2,1025,cv,0.89
2010,3,3,3,158,-7,-1,1025,SE,4.02
2010,3,3,4,178,-8,-1,1024,SE,8.94
2010,3,3,5,135,-8,-1,1024,SE,12.96
2010,3,3,6,111,-8,-1,1024,SE,16.98
2010,3,3,7,114,-9,-2,1025,cv,0.89
2010,3,3,8,121,-7,-1,1025,SE,0.89
2010,3,3,9,126,-8,0,1026,cv,0.89
2010,3,3,10,133,-7,1,1026,SE,3.13
2010,3,3,11,146,-7,2,1025,SE,6.26
2010,3,3,12,165,-5,3,1025,SE,9.39
2010,3,3,13,202,-5,4,1023,SE,12.52
2010,3,3,14,230,-5,5,1022,SE,15.65
2010,3,3,15,247,-6,5,1021,SE,18.78
2010,3,3,16,236,-6,6,1021,SE,20.57
2010,3,3,17,227,-6,5,1020,SE,24.59
2010,3,3,18,224,-6,4,1019,cv,0.89
2010,3,3,19,187,-5,3,1020,SE,1.79
2010,3,3,20,150,-5,3,1020,SE,3.58
2010,3,3,21,144,-5,2,1020,cv,0.89
2010,3,3,22,123,-4,1,1020,cv,1.78
2010,3,3,23,134,-6,2,1020,SE,1.79
2010,3,4,0,98,-5,2,1019,SE,4.92
2010,3,4,1,101,-5,1,1019,SE,6.71
2010,3,4,2,108,-5,1,1018,SE,9.84
2010,3,4,3,126,-5,1,1017,SE,12.97
2010,3,4,4,125,-4,0,1016,cv,0.89
2010,3,4,5,121,-3,0,1015,NE,1.79
2010,3,4,6,123,-4,-1,1015,SE,1.79
2010,3,4,7,126,-4,-1,1015,SE,3.58
2010,3,4,8,131,-3,0,1016,SE,4.47
2010,3,4,9,126,-4,1,1016,SE,7.6
2010,3,4,10,156,-4,3,1016,SE,9.39
2010,3,4,11,187,-4,3,1015,SE,12.52
2010,3,4,12,220,-4,4,1015,SE,14.31
2010,3,4,13,237,-4,6,1014,SE,17.44
2010,3,4,14,252,-4,7,1013,SE,19.23
2010,3,4,15,226,-4,7,1014,SE,22.36
2010,3,4,16,231,-3,5,1013,NW,3.13
2010,3,4,17,222,-2,3,1013,NW,8.05
2010,3,4,18,246,-2,3,1013,cv,0.89
2010,3,4,19,261,-2,3,1014,cv,1.78
2010,3,4,20,256,-2,3,1015,NW,1.79
2010,3,4,21,255,-2,3,1016,NW,4.92
2010,3,4,22,263,-2,2,1017,NW,8.05
2010,3,4,23,269,-2,2,1018,NW,12.07
2010,3,5,0,248,-2,1,1019,NW,16.99
2010,3,5,1,89,-10,3,1020,NW,22.8
2010,3,5,2,15,-13,2,1021,NW,26.82
2010,3,5,3,19,-17,1,1022,NW,35.76
2010,3,5,4,15,-16,0,1022,NW,45.59
2010,3,5,5,13,-16,-1,1024,NW,53.64
2010,3,5,6,16,-16,-2,1026,NW,62.58
2010,3,5,7,19,-18,-3,1027,NW,71.52
2010,3,5,8,19,-19,-2,1028,NW,81.35
2010,3,5,9,24,-23,-1,1027,NW,95.21
2010,3,5,10,24,-25,0,1027,NW,105.04
2010,3,5,11,17,-25,2,1029,NW,110.85
2010,3,5,12,11,-24,2,1029,NW,116.66
2010,3,5,13,17,-25,3,1028,NW,123.81
2010,3,5,14,14,-25,3,1028,NW,130.96
2010,3,5,15,16,-25,2,1028,NE,4.92
2010,3,5,16,16,-24,3,1028,cv,1.79
2010,3,5,17,18,-25,2,1029,NE,3.13
2010,3,5,18,22,-24,1,1029,NE,6.26
2010,3,5,19,30,-24,0,1030,NE,9.39
2010,3,5,20,27,-25,0,1030,NE,12.52
2010,3,5,21,29,-23,0,1031,NE,17.44
2010,3,5,22,20,-22,-1,1032,NE,23.25
2010,3,5,23,14,-22,-2,1033,NE,29.06
2010,3,6,0,19,-22,-2,1033,NE,34.87
2010,3,6,1,16,-21,-3,1034,NE,40.68
2010,3,6,2,12,-21,-3,1034,NE,44.7
2010,3,6,3,13,-22,-4,1035,NE,49.62
2010,3,6,4,15,-22,-4,1034,NE,55.43
2010,3,6,5,11,-23,-5,1034,NE,61.24
2010,3,6,6,19,-23,-5,1035,NE,66.16
2010,3,6,7,16,-23,-5,1035,NE,71.97
2010,3,6,8,27,-22,-5,1035,NE,76.89
2010,3,6,9,23,-22,-3,1036,NE,80.91
2010,3,6,10,29,-23,-2,1036,NE,82.7
2010,3,6,11,26,-22,-1,1035,NW,1.79
2010,3,6,12,39,-22,0,1034,SE,1.79
2010,3,6,13,52,-20,1,1033,cv,3.13
2010,3,6,14,65,-18,1,1032,cv,4.92
2010,3,6,15,91,-13,2,1031,SE,4.02
2010,3,6,16,103,-13,2,1031,cv,1.79
2010,3,6,17,99,-10,1,1031,SE,3.13
2010,3,6,18,99,-9,-1,1032,SE,6.26
2010,3,6,19,103,-9,-1,1032,SE,9.39
2010,3,6,20,96,-9,-1,1033,SE,11.18
2010,3,6,21,76,-9,-3,1034,SE,12.07
2010,3,6,22,69,-9,-4,1034,SE,13.86
2010,3,6,23,83,-9,-3,1035,SE,18.78
2010,3,7,0,62,-9,-3,1035,SE,21.91
2010,3,7,1,51,-9,-4,1035,SE,25.04
2010,3,7,2,53,-9,-5,1035,SE,28.17
2010,3,7,3,68,-10,-6,1035,SE,31.3
2010,3,7,4,71,-9,-5,1035,SE,34.43
2010,3,7,5,62,-10,-5,1035,SE,37.56
2010,3,7,6,58,-10,-6,1035,SE,39.35
2010,3,7,7,69,-11,-7,1036,cv,0.45
2010,3,7,8,74,-9,-5,1037,cv,0.9
2010,3,7,9,67,-10,-3,1037,SE,1.79
