"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","Y"
"41993",52,"services","married","secondary","no",992,"yes","no","cellular",27,"oct",424,1,515,1,"failure","yes"
"16081",55,"services","divorced","secondary","yes",-404,"yes","no","cellular",22,"jul",502,3,-1,0,"unknown","no"
"5857",32,"admin.","single","secondary","no",620,"yes","no","unknown",26,"may",1234,3,-1,0,"unknown","yes"
"18487",50,"blue-collar","married","secondary","no",1553,"yes","no","cellular",31,"jul",53,2,-1,0,"unknown","no"
"38187",31,"admin.","married","secondary","no",122,"yes","no","cellular",15,"may",49,1,364,1,"failure","no"
"35013",34,"entrepreneur","married","tertiary","no",842,"yes","no","cellular",6,"may",141,2,-1,0,"unknown","no"
"38764",48,"services","divorced","secondary","no",142,"yes","no","cellular",18,"may",11,10,-1,0,"unknown","no"
"33301",34,"technician","single","secondary","no",1161,"yes","no","cellular",20,"apr",17,5,334,1,"failure","no"
"1791",30,"blue-collar","single","primary","no",383,"yes","no","unknown",9,"may",135,1,-1,0,"unknown","no"
"8238",35,"blue-collar","married","primary","no",456,"yes","no","unknown",2,"jun",71,1,-1,0,"unknown","no"
"10140",49,"entrepreneur","married","tertiary","no",384,"no","no","unknown",11,"jun",64,1,-1,0,"unknown","no"
"6140",32,"management","married","tertiary","no",3517,"yes","no","unknown",27,"may",57,5,-1,0,"unknown","no"
"27835",49,"management","divorced","secondary","no",613,"no","yes","cellular",28,"jan",301,1,-1,0,"unknown","no"
"36622",33,"blue-collar","single","secondary","no",38,"yes","no","telephone",12,"may",139,4,371,1,"other","no"
"21847",39,"management","married","tertiary","no",51,"no","no","cellular",20,"aug",140,2,-1,0,"unknown","no"
"42123",29,"student","single","unknown","no",10332,"no","no","cellular",2,"nov",46,3,-1,0,"unknown","yes"
"31464",46,"management","divorced","tertiary","no",10469,"yes","no","cellular",1,"apr",202,2,-1,0,"unknown","no"
"36856",46,"technician","married","secondary","no",3,"yes","yes","cellular",12,"may",614,3,-1,0,"unknown","yes"
