"x" "y"
"1" 332.4641 36497.94
"2" 358.8267 36575.77
"3" 352.9803 36535.1
"4" 345.0131 36561.26
"5" 353.5984 36590.64
"6" 338.5335 36570.46
"7" 388.9333 36611.58
"8" 337.2194 36508.73
"9" 335.5204 36490.17
"10" 361.9229 36568.02
"11" 370.8853 36606.52
"12" 362.7024 36594.57
"13" 357.6594 36579.35
"14" 341.9837 36563.89
"15" 322.3447 36534.76
"16" 364.5365 36577.58
"17" 350.904 36562.74
"18" 358.7084 36557.4
"19" 373.65 36581.72
"20" 355.1333 36577.99
"21" 371.243 36620.57
"22" 357.4551 36581.21
"23" 345.1938 36569.77
"24" 362.1602 36600.63
"25" 359.0227 36584.15
"26" 337.5926 36553.26
"27" 358.3845 36541.45
"28" 344.2646 36544.15
"29" 332.5838 36540.87
"30" 360.1083 36608.75
"31" 367.2599 36596
"32" 357.4573 36555.44
"33" 368.4949 36598.83
"34" 346.4857 36597.57
"35" 334.917 36593.01
"36" 360.9713 36640.88
"37" 337.7089 36596.04
"38" 353.8402 36600.75
"39" 361.9502 36586.91
"40" 371.2206 36599.27
"41" 334.9683 36505.82
"42" 357.3507 36571.81
"43" 374.3671 36586.85
"44" 351.2322 36547.43
"45" 369.3614 36606.1
"46" 334.7502 36534.3
"47" 376.9244 36618.81
"48" 360.9334 36596.91
"49" 318.0753 36549.75
"50" 343.2054 36550.4
"51" 344.6126 36565.32
"52" 364.1286 36633.31
"53" 349.6483 36610.75
"54" 363.4805 36616.88
"55" 370.7942 36643.42
"56" 332.1354 36539.77
"57" 354.7597 36570.78
"58" 336.654 36529.21
"59" 364.1948 36546.12
"60" 346.819 36539.48
"61" 384.2033 36608.61
"62" 337.6242 36538.3
"63" 359.867 36570.46
"64" 322.1443 36517.65
"65" 368.8887 36598.04
"66" 349.2591 36540.29
"67" 342.5826 36511.92
"68" 361.2689 36521.43
"69" 367.5467 36544.43
"70" 336.0342 36512.07
"71" 336.6062 36533.02
"72" 365.804 36592.16
"73" 358.1744 36594.43
"74" 348.8217 36566.72
"75" 360.6929 36618.92
"76" 342.3065 36564.12
