"year","age","maritl","race","education","jobclass","wage"
2006,18,"1. Never Married","1. White","1. < HS Grad","1. Industrial",75.0431540173515
2004,24,"1. Never Married","1. White","4. College Grad","2. Information",70.4760196469445
2003,45,"2. Married","1. White","3. Some College","1. Industrial",130.982177377461
2003,43,"2. Married","3. Asian","4. College Grad","2. Information",154.68529299563
2005,50,"4. Divorced","1. White","2. HS Grad","2. Information",75.0431540173515
2008,54,"2. Married","1. White","4. College Grad","2. Information",127.115743812184
2009,44,"2. Married","4. Other","3. Some College","1. Industrial",169.528538036679
2008,30,"1. Never Married","3. Asian","3. Some College","2. Information",111.720849360989
2006,41,"1. Never Married","2. Black","3. Some College","2. Information",118.884359339886
2004,52,"2. Married","1. White","2. HS Grad","2. Information",128.680488220624
2007,45,"4. Divorced","1. White","3. Some College","2. Information",NA
2007,34,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2005,35,NA,"1. White","2. HS Grad","2. Information",89.4924795180001
2003,39,"2. Married","1. White","4. College Grad","1. Industrial",134.705375118879
2009,54,"2. Married","1. White","2. HS Grad","2. Information",134.705375118879
2009,51,"2. Married","1. White","3. Some College","1. Industrial",90.4819133566401
2003,37,"1. Never Married","3. Asian","4. College Grad","1. Industrial",82.6796372966372
2006,50,"2. Married","1. White","5. Advanced Degree","2. Information",212.842352315711
2007,56,"2. Married","1. White","4. College Grad","1. Industrial",129.156693004704
2003,37,"1. Never Married","1. White","3. Some College","1. Industrial",98.5993438603892
2003,38,"2. Married","3. Asian","4. College Grad","2. Information",200.543262324662
2005,40,"4. Divorced","1. White","2. HS Grad","2. Information",NA
2009,75,"2. Married","1. White","4. College Grad","1. Industrial",85.3839403789827
2007,40,"2. Married","1. White","4. College Grad","2. Information",160.642475408263
2006,38,"1. Never Married","1. White","2. HS Grad","1. Industrial",94.0727147457005
2005,49,"2. Married","1. White","5. Advanced Degree","2. Information",277.601417511009
2006,43,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2004,34,"2. Married","4. Other","2. HS Grad","1. Industrial",65.1108537153447
2008,57,"2. Married","1. White","2. HS Grad","1. Industrial",116.265324062503
2003,18,"1. Never Married","2. Black","2. HS Grad","1. Industrial",NA
2004,55,"2. Married","1. White","5. Advanced Degree","2. Information",195.676307990453
2005,51,"2. Married","1. White","3. Some College","2. Information",101.402052302992
2008,33,"1. Never Married","1. White","5. Advanced Degree","1. Industrial",81.2832532842527
2005,34,"1. Never Married","1. White","2. HS Grad","1. Industrial",111.720849360989
2006,36,"2. Married","1. White","4. College Grad","2. Information",89.8800467811106
2003,56,"1. Never Married","1. White","5. Advanced Degree","2. Information",87.9810327856054
2006,70,"1. Never Married","1. White","4. College Grad","1. Industrial",87.9810327856054
2004,25,"1. Never Married","1. White","4. College Grad","1. Industrial",103.90247060316
2006,32,"2. Married","1. White","3. Some College","1. Industrial",NA
2003,27,"2. Married","1. White","1. < HS Grad","1. Industrial",66.2294082943902
2004,28,"2. Married","3. Asian",NA,"1. Industrial",34.6074177301288
2007,27,"1. Never Married","1. White","4. College Grad","2. Information",109.833985642199
2004,43,"1. Never Married","1. White","1. < HS Grad","1. Industrial",45.282169994022
2005,50,"1. Never Married","4. Other","1. < HS Grad","1. Industrial",73.7757432746946
2004,39,"2. Married","2. Black","2. HS Grad","2. Information",81.2832532842527
2008,52,"2. Married","1. White","5. Advanced Degree","1. Industrial",154.68529299563
2009,35,"2. Married","1. White","4. College Grad","1. Industrial",267.901086855275
2007,57,"2. Married","1. White","5. Advanced Degree","2. Information",176.989650489877
2006,25,"1. Never Married","1. White","1. < HS Grad","1. Industrial",66.2294082943902
2006,33,"1. Never Married","1. White","2. HS Grad","2. Information",NA
2005,57,"2. Married","1. White","5. Advanced Degree","2. Information",200.543262324662
2008,71,"2. Married","1. White","3. Some College","1. Industrial",101.82435207568
2004,43,"2. Married","1. White","4. College Grad","1. Industrial",272.294783220064
2003,23,"1. Never Married","1. White","3. Some College","1. Industrial",35.0334213214995
2009,30,"1. Never Married","1. White","5. Advanced Degree","2. Information",114.475713290347
2004,22,"1. Never Married","2. Black","2. HS Grad","2. Information",81.2832532842527
2006,59,"2. Married","1. White","5. Advanced Degree","2. Information",200.543262324662
2003,28,"1. Never Married","3. Asian","4. College Grad","2. Information",148.413159102577
2004,61,"2. Married","1. White","2. HS Grad","1. Industrial",99.6894636984864
2003,34,"2. Married","1. White","2. HS Grad","2. Information",111.720849360989
2005,43,"2. Married","1. White","4. College Grad","1. Industrial",152.838800991182
2006,54,"2. Married","1. White","3. Some College","1. Industrial",117.146816914805
2005,69,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2004,41,"2. Married","1. White","3. Some College","1. Industrial",87.9810327856054
2003,48,"2. Married","1. White","5. Advanced Degree","2. Information",125.525498433836
2003,49,"2. Married","1. White","3. Some College","2. Information",123.336103962059
2009,42,"2. Married","1. White","2. HS Grad","1. Industrial",158.294621427791
2003,37,"2. Married","1. White","4. College Grad","2. Information",200.543262324662
2004,55,"2. Married","3. Asian","2. HS Grad","1. Industrial",99.6894636984864
2008,21,"1. Never Married","2. Black","2. HS Grad","1. Industrial",70.4760196469445
2004,58,"2. Married","1. White","2. HS Grad","2. Information",94.0727147457005
2006,31,"1. Never Married","1. White","2. HS Grad","1. Industrial",81.2832532842527
2006,25,"1. Never Married","1. White","2. HS Grad","1. Industrial",NA
2006,32,"1. Never Married","1. White","3. Some College","2. Information",100.764272842107
2009,40,"1. Never Married","2. Black","1. < HS Grad","2. Information",94.0727147457005
2003,44,"2. Married","1. White","5. Advanced Degree","2. Information",99.6894636984864
2003,60,"2. Married","1. White","4. College Grad","1. Industrial",268.266292012557
2006,23,"1. Never Married","1. White","1. < HS Grad","1. Industrial",81.2832532842527
2003,63,"2. Married","1. White","2. HS Grad","2. Information",113.567089569751
2008,44,"1. Never Married","1. White","1. < HS Grad","1. Industrial",NA
2005,47,"2. Married","3. Asian","5. Advanced Degree","2. Information",128.680488220624
2004,61,"2. Married","1. White","3. Some College","1. Industrial",106.723977625299
2009,55,"2. Married","1. White","5. Advanced Degree","2. Information",66.0446942318056
2003,24,"1. Never Married","1. White","1. < HS Grad","1. Industrial",51.521956314716
2007,42,"3. Widowed","1. White","2. HS Grad","1. Industrial",NA
2006,25,"2. Married","1. White","2. HS Grad","2. Information",76.8936025176112
2004,34,"4. Divorced","1. White","2. HS Grad","1. Industrial",NA
2009,53,"2. Married","1. White","1. < HS Grad","2. Information",68.0764282889521
2009,53,"2. Married","1. White","4. College Grad","2. Information",130.982177377461
2009,70,"2. Married","3. Asian","5. Advanced Degree","2. Information",127.901232979118
2004,47,"2. Married","1. White","4. College Grad","2. Information",131.224593755096
2003,46,"2. Married","1. White","2. HS Grad","1. Industrial",99.6894636984864
